question_id,mse_distance,validator_distance,validator_best_prompt,podcaster_distance,podcaster_best_prompt,visionary_distance,visionary_best_prompt,fool_distance,fool_best_prompt,whale_distance,whale_best_prompt,leviathan_distance,leviathan_best_prompt
139,0.6214045805224222,0.05796994101419983,4,0.5464832399159167,2,0.11116854740338056,0,1.8397764030491146,4,0.1330358398063396,4,0.10765149206235947,3
132,1.182161089127897,0.4104515045868169,2,1.1104205519068167,0,1.1772257232741072,2,0.49474708413611523,2,1.9302537302134226,2,0.5787467073344743,4
111,2.0954256051001754,1.243875546551351,4,1.6047016908818712,0,2.335750855331579,1,1.651054934266341,4,0.5176705506379307,4,0.02371677525050586,4
133,2.300489273686056,0.7541698175488278,0,0.7168822210711134,0,2.0393423436326046,3,1.8896014625532729,0,2.141327070551341,2,0.636750268656769,1
196,2.965001740956542,0.6999637728537422,0,2.0197698556870503,2,0.10701258763099197,1,2.935541362163498,2,1.473760074158065,1,1.5555601413712452,0
120,3.0739885180089135,0.34141484452973003,4,1.4930386181239506,1,2.6843631551188736,4,0.7007453813430828,1,2.555225672566955,4,1.3682743953608423,2
217,3.4570440044967703,0.9578537190670673,2,1.1354105711591345,3,0.6245774054412188,4,2.7176999999554283,4,0.7882393260303502,3,3.184071552981166,1
42,4.018280604242476,2.412556849815921,0,0.04680010770781884,1,0.6610263875064639,1,3.924239442255292,4,0.05797814502430754,3,1.5643178293899354,1
23,4.12483368362824,2.053948356182673,0,2.8742455778632205,0,1.8792262153262786,3,2.2614463297855067,4,1.4681583704249448,3,1.21156549080888,1
31,4.308627017301525,0.6260991624466925,0,1.3891231064313292,0,2.046396040395962,3,1.295303188082194,4,3.508888893438133,2,2.3134931528045684,1
37,4.574779672558987,0.07129504765074302,1,1.116262569784963,2,3.579481945673713,3,2.7238412907161162,3,1.3512817190076731,0,2.0345978143832326,0
197,4.618342132192277,1.8836416025002407,1,2.055366253532437,3,1.1986290703256852,2,3.7927402885509167,4,1.7862923781397058,2,0.9617617509013883,4
